frame,time,x,y,tile_x,tile_y,vx,vy,state,on_ground,hp,daggers
455,1776206715.16,586,704,12,14,-4,0.55,walking,0,5,2
456,1776206715.176,582,704,12,14,-4,0,walking,1,5,2
457,1776206715.193,578,704,12,14,-4,0.55,walking,0,5,2
458,1776206715.209,574,704,11,14,-4,0,walking,1,5,2
459,1776206715.225,570,704,11,14,-4,0.55,walking,0,5,2
460,1776206715.241,566,704,11,14,-4,0,walking,1,5,2
461,1776206715.256,562,704,11,14,-4,0.55,walking,0,5,2
462,1776206715.273,558,704,11,14,-4,0,walking,1,5,2
463,1776206715.289,554,704,11,14,-4,0.55,walking,0,5,2
464,1776206715.305,550,704,11,14,-4,0,walking,1,5,2
465,1776206715.322,546,704,11,14,-4,0.55,walking,0,5,2
466,1776206715.337,542,704,11,14,-4,0,walking,1,5,2
467,1776206715.354,538,704,11,14,-4,0.55,walking,0,5,2
468,1776206715.371,534,704,11,14,-4,0,walking,1,5,2
469,1776206715.386,530,704,11,14,-4,0.55,walking,0,5,2
470,1776206715.403,526,704,10,14,-4,0,walking,1,5,2
471,1776206715.419,522,704,10,14,-4,0.55,walking,0,5,2
472,1776206715.435,518,704,10,14,-4,0,walking,1,5,2
473,1776206715.452,514,691,10,14,-4,-13.45,walking,0,5,2
474,1776206715.468,510,679,10,14,-4,-12.9,walking,0,5,2
475,1776206715.483,506,667,10,13,-4,-12.35,walking,0,5,2
476,1776206715.5,502,656,10,13,-4,-11.8,walking,0,5,2
477,1776206715.517,498,645,10,13,-4,-11.25,walking,0,5,2
478,1776206715.533,494,635,10,13,-4,-10.7,walking,0,5,2
479,1776206715.55,490,625,10,13,-4,-10.15,walking,0,5,2
480,1776206715.565,486,616,10,12,-4,-9.6,walking,0,5,2
481,1776206715.582,482,607,10,12,-4,-9.05,walking,0,5,2
482,1776206715.597,480,599,10,12,-4,-8.5,walking,0,5,2
483,1776206715.614,480,592,10,12,-4,-7.95,walking,0,5,2
484,1776206715.629,480,585,10,12,-4,-7.4,walking,0,5,2
485,1776206715.646,480,579,10,12,-4,-6.85,walking,0,5,2
486,1776206715.662,480,573,10,11,-4,-6.3,walking,0,5,2
487,1776206715.678,480,568,10,11,-4,-5.75,walking,0,5,2
488,1776206715.694,480,563,10,11,-4,-5.2,walking,0,5,2
489,1776206715.71,480,559,10,11,-4,-4.65,walking,0,5,2
490,1776206715.725,476,555,9,11,-4,-4.1,walking,0,5,2
491,1776206715.742,472,552,9,11,-4,-3.55,walking,0,5,2
492,1776206715.758,468,550,9,11,-4,-3.0,walking,0,5,2
493,1776206715.774,464,548,9,11,-4,-2.45,walking,0,5,2
494,1776206715.789,460,547,9,11,-4,-1.9,walking,0,5,2
495,1776206715.806,456,546,9,11,-4,-1.35,walking,0,5,2
496,1776206715.821,452,546,9,11,-4,-0.8,walking,0,5,2
497,1776206715.838,448,546,9,11,-4,-0.25,walking,0,5,2
498,1776206715.854,444,546,9,11,-4,0.3,walking,0,5,2
499,1776206715.871,440,546,9,11,-4,0.85,walking,0,5,2
500,1776206715.887,436,547,9,11,-4,1.4,walking,0,5,2
501,1776206715.904,432,548,9,11,-4,1.95,walking,0,5,2
502,1776206715.92,428,550,8,11,-4,2.5,walking,0,5,2
503,1776206715.937,424,553,8,11,-4,3.05,walking,0,5,2
504,1776206715.953,420,556,8,11,-4,3.6,walking,0,5,2
505,1776206715.969,416,560,8,11,-4,4.15,walking,0,5,2
506,1776206715.984,412,560,8,11,-4,0,walking,1,5,2
507,1776206716.001,408,560,8,11,-4,0.55,walking,0,5,2
