frame,time,x,y,tile_x,tile_y,vx,vy,state,on_ground,ai_strategy,sees_player,ammo,stun,swap_used
1293,1775851975.672,2122,676,44,14,0,4.95,IDLE,0,FAR,0,3,0,0
1294,1775851975.689,2122,681,44,14,0,5.5,IDLE,0,FAR,0,3,0,0
1295,1775851975.705,2122,687,44,14,0,6.05,IDLE,0,FAR,0,3,0,0
1296,1775851975.72,2122,693,44,14,0,6.6,IDLE,0,FAR,0,3,0,0
1297,1775851975.737,2122,700,44,14,0,7.15,IDLE,0,FAR,0,3,0,0
1298,1775851975.753,2122,707,44,14,0,7.7,IDLE,0,FAR,0,3,0,0
1299,1775851975.768,2122,715,44,14,0,8.25,IDLE,0,FAR,0,3,0,0
1300,1775851975.785,2122,723,44,15,0,8.8,IDLE,0,FAR,0,3,0,0
1301,1775851975.801,2122,732,44,15,0,9.35,IDLE,0,FAR,0,3,0,0
1302,1775851975.816,2122,741,44,15,0,9.9,IDLE,0,FAR,0,3,0,0
1303,1775851975.833,2122,751,44,15,0,10.45,IDLE,0,FAR,0,3,0,0
1304,1775851975.85,2122,752,44,15,0,0,IDLE,1,FAR,0,3,0,0
1311,1775851975.964,2122,731,44,15,2,-21.45,IDLE,0,FAR,0,3,0,0
1312,1775851975.98,2122,711,44,14,2,-20.9,IDLE,0,FAR,0,3,0,0
1313,1775851975.997,2122,691,44,14,2,-20.35,IDLE,0,FAR,0,3,0,0
1314,1775851976.014,2122,672,44,14,2,-19.8,IDLE,0,FAR,0,3,0,0
1315,1775851976.03,2122,653,44,13,2,-19.25,IDLE,0,FAR,0,3,0,0
1316,1775851976.046,2124,635,44,13,2,-18.7,IDLE,0,FAR,0,3,0,0
1317,1775851976.062,2126,617,44,12,2,-18.15,IDLE,0,FAR,0,3,0,0
1318,1775851976.079,2128,600,44,12,2,-17.6,IDLE,0,FAR,0,3,0,0
1319,1775851976.096,2130,583,44,12,2,-17.05,IDLE,0,FAR,0,3,0,0
1320,1775851976.111,2132,567,44,11,2,-16.5,IDLE,0,FAR,0,3,0,0
1321,1775851976.127,2134,552,44,11,2,-15.95,IDLE,0,FAR,0,3,0,0
1322,1775851976.143,2136,537,44,11,2,-15.4,IDLE,0,FAR,0,3,0,0
1323,1775851976.159,2138,523,44,10,2,-14.85,IDLE,0,FAR,0,3,0,0
1324,1775851976.175,2140,509,44,10,2,-14.3,IDLE,0,FAR,0,3,0,0
1325,1775851976.192,2142,496,44,10,2,-13.75,IDLE,0,FAR,0,3,0,0
1326,1775851976.207,2144,483,44,10,2,-13.2,IDLE,0,FAR,0,3,0,0
1327,1775851976.223,2146,480,44,10,2,0,IDLE,0,FAR,0,3,0,0
1328,1775851976.239,2148,480,44,10,2,0.55,IDLE,0,FAR,0,3,0,0
1329,1775851976.255,2150,481,44,10,2,1.1,IDLE,0,FAR,0,3,0,0
1330,1775851976.271,2152,482,44,10,2,1.65,IDLE,0,FAR,0,3,0,0
1331,1775851976.287,2154,484,44,10,2,2.2,IDLE,0,FAR,0,3,0,0
1332,1775851976.303,2156,486,44,10,2,2.75,IDLE,0,FAR,0,3,0,0
1333,1775851976.319,2158,489,44,10,2,3.3,IDLE,0,FAR,0,3,0,0
1334,1775851976.335,2160,492,45,10,2,3.85,IDLE,0,FAR,0,3,0,0
1335,1775851976.352,2160,496,45,10,0,4.4,IDLE,0,FAR,0,3,0,0
1336,1775851976.367,2160,500,45,10,0,4.95,IDLE,0,FAR,0,3,0,0
1337,1775851976.383,2160,505,45,10,0,5.5,IDLE,0,FAR,0,3,0,0
1338,1775851976.4,2160,511,45,10,0,6.05,IDLE,0,FAR,0,3,0,0
1339,1775851976.415,2160,517,45,10,0,6.6,IDLE,0,FAR,0,3,0,0
1340,1775851976.432,2160,524,45,10,0,7.15,IDLE,0,FAR,0,3,0,0
1341,1775851976.449,2160,531,45,11,0,7.7,IDLE,0,FAR,0,3,0,0
1342,1775851976.464,2160,539,45,11,0,8.25,IDLE,0,FAR,0,3,0,0
1343,1775851976.481,2160,547,45,11,0,8.8,IDLE,0,FAR,0,3,0,0
1344,1775851976.497,2160,556,45,11,0,9.35,IDLE,0,FAR,0,3,0,0
1345,1775851976.513,2160,565,45,11,0,9.9,IDLE,0,FAR,0,3,0,0
1346,1775851976.53,2160,575,45,11,0,10.45,IDLE,0,FAR,0,3,0,0
1347,1775851976.546,2160,586,45,12,0,11.0,IDLE,0,FAR,0,3,0,0
1348,1775851976.561,2160,597,45,12,0,11.55,IDLE,0,FAR,0,3,0,0
1349,1775851976.578,2160,609,45,12,0,12.1,IDLE,0,FAR,0,3,0,0
1350,1775851976.594,2160,621,45,12,0,12.65,IDLE,0,FAR,0,3,0,0
1351,1775851976.609,2162,634,45,13,2,13.2,IDLE,0,FAR,0,3,0,0
1352,1775851976.626,2164,647,45,13,2,13.75,IDLE,0,FAR,0,3,0,0
1353,1775851976.641,2166,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1354,1775851976.658,2168,656,45,13,2,0.55,IDLE,0,FAR,0,3,0,0
1355,1775851976.674,2170,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1356,1775851976.69,2172,656,45,13,2,0.55,IDLE,0,FAR,0,3,0,0
1357,1775851976.706,2174,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1358,1775851976.722,2176,656,45,13,2,0.55,IDLE,0,FAR,0,3,0,0
1359,1775851976.738,2178,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1360,1775851976.754,2180,656,45,13,2,0.55,IDLE,0,FAR,0,3,0,0
1361,1775851976.77,2182,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1362,1775851976.787,2184,656,45,13,2,0.55,IDLE,0,FAR,0,3,0,0
1363,1775851976.803,2186,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1364,1775851976.819,2188,656,45,13,2,0.55,IDLE,0,FAR,0,3,0,0
1365,1775851976.835,2190,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1366,1775851976.851,2192,656,45,13,2,0.55,IDLE,0,FAR,0,3,0,0
1367,1775851976.867,2194,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1368,1775851976.884,2196,656,45,13,2,0.55,IDLE,0,FAR,0,3,0,0
1369,1775851976.899,2198,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1370,1775851976.915,2200,656,45,13,2,0.55,IDLE,0,FAR,0,3,0,0
1371,1775851976.931,2202,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1372,1775851976.948,2204,656,45,13,2,0.55,IDLE,0,FAR,0,3,0,0
1373,1775851976.963,2206,656,45,13,2,0,IDLE,1,FAR,0,3,0,0
1374,1775851976.979,2208,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1375,1775851976.995,2210,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1376,1775851977.012,2212,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1377,1775851977.028,2214,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1378,1775851977.044,2216,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1379,1775851977.06,2218,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1380,1775851977.077,2220,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1381,1775851977.094,2222,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1382,1775851977.109,2224,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1383,1775851977.125,2226,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1384,1775851977.142,2228,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1385,1775851977.158,2230,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1386,1775851977.173,2232,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1387,1775851977.189,2234,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1388,1775851977.205,2236,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1389,1775851977.221,2238,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1390,1775851977.237,2240,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1391,1775851977.253,2242,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1392,1775851977.269,2244,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1393,1775851977.286,2246,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1394,1775851977.303,2248,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1395,1775851977.319,2250,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1396,1775851977.334,2252,656,46,13,2,0.55,IDLE,0,FAR,0,3,0,0
1397,1775851977.351,2254,656,46,13,2,0,IDLE,1,FAR,0,3,0,0
1398,1775851977.367,2256,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1399,1775851977.382,2258,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1400,1775851977.399,2260,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1401,1775851977.416,2262,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1402,1775851977.432,2264,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1403,1775851977.448,2266,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1404,1775851977.464,2268,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1405,1775851977.479,2270,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1406,1775851977.496,2272,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1407,1775851977.512,2274,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1408,1775851977.529,2276,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1409,1775851977.546,2278,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1410,1775851977.563,2280,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1411,1775851977.579,2282,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1412,1775851977.595,2284,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1413,1775851977.612,2286,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1414,1775851977.628,2288,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1415,1775851977.644,2290,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1416,1775851977.66,2292,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1417,1775851977.676,2294,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1418,1775851977.692,2296,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1419,1775851977.708,2298,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1420,1775851977.725,2300,656,47,13,2,0.55,IDLE,0,FAR,0,3,0,0
1421,1775851977.741,2302,656,47,13,2,0,IDLE,1,FAR,0,3,0,0
1422,1775851977.757,2304,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1423,1775851977.773,2306,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1424,1775851977.789,2308,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1425,1775851977.805,2310,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1426,1775851977.821,2312,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1427,1775851977.837,2314,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1428,1775851977.853,2316,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1429,1775851977.869,2318,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1430,1775851977.886,2320,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1431,1775851977.901,2322,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1432,1775851977.917,2324,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1433,1775851977.933,2326,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1434,1775851977.949,2328,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1435,1775851977.965,2330,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1436,1775851977.981,2332,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1437,1775851977.997,2334,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1438,1775851978.013,2336,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1439,1775851978.029,2338,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1440,1775851978.046,2340,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1441,1775851978.062,2342,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1442,1775851978.078,2344,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1443,1775851978.094,2346,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
1444,1775851978.11,2348,656,48,13,2,0.55,IDLE,0,FAR,0,3,0,0
1445,1775851978.126,2350,656,48,13,2,0,IDLE,1,FAR,0,3,0,0
